,date,region,confirmed,active,cured,deaths
0,2020-03-27,Andaman and Nicobar Islands,1,1.0,0.0,0.0
1,2020-03-28,Andaman and Nicobar Islands,6,6.0,0.0,0.0
2,2020-03-29,Andaman and Nicobar Islands,9,9.0,0.0,0.0
3,2020-03-30,Andaman and Nicobar Islands,9,9.0,0.0,0.0
4,2020-03-31,Andaman and Nicobar Islands,10,10.0,0.0,0.0
5,2020-04-01,Andaman and Nicobar Islands,10,10.0,0.0,0.0
6,2020-04-02,Andaman and Nicobar Islands,10,10.0,0.0,0.0
7,2020-04-03,Andaman and Nicobar Islands,10,10.0,0.0,0.0
8,2020-04-04,Andaman and Nicobar Islands,10,10.0,0.0,0.0
9,2020-04-05,Andaman and Nicobar Islands,10,10.0,0.0,0.0
10,2020-04-06,Andaman and Nicobar Islands,10,10.0,0.0,0.0
11,2020-04-07,Andaman and Nicobar Islands,10,10.0,0.0,0.0
12,2020-04-08,Andaman and Nicobar Islands,10,10.0,0.0,0.0
13,2020-04-09,Andaman and Nicobar Islands,11,11.0,0.0,0.0
14,2020-04-10,Andaman and Nicobar Islands,11,11.0,0.0,0.0
15,2020-04-11,Andaman and Nicobar Islands,11,11.0,0.0,0.0
16,2020-04-12,Andaman and Nicobar Islands,11,1.0,10.0,0.0
17,2020-04-13,Andaman and Nicobar Islands,11,1.0,10.0,0.0
18,2020-04-14,Andaman and Nicobar Islands,11,1.0,10.0,0.0
19,2020-04-15,Andaman and Nicobar Islands,11,1.0,10.0,0.0
20,2020-04-16,Andaman and Nicobar Islands,11,1.0,10.0,0.0
21,2020-04-17,Andaman and Nicobar Islands,11,1.0,10.0,0.0
22,2020-04-18,Andaman and Nicobar Islands,12,1.0,11.0,0.0
23,2020-04-19,Andaman and Nicobar Islands,14,3.0,11.0,0.0
24,2020-04-20,Andaman and Nicobar Islands,15,4.0,11.0,0.0
25,2020-04-21,Andaman and Nicobar Islands,16,5.0,11.0,0.0
26,2020-04-22,Andaman and Nicobar Islands,16,5.0,11.0,0.0
27,2020-04-23,Andaman and Nicobar Islands,18,7.0,11.0,0.0
28,2020-04-24,Andaman and Nicobar Islands,22,11.0,11.0,0.0
29,2020-04-25,Andaman and Nicobar Islands,27,16.0,11.0,0.0
30,2020-04-26,Andaman and Nicobar Islands,33,22.0,11.0,0.0
31,2020-04-27,Andaman and Nicobar Islands,33,22.0,11.0,0.0
32,2020-04-28,Andaman and Nicobar Islands,33,22.0,11.0,0.0
33,2020-04-29,Andaman and Nicobar Islands,33,18.0,15.0,0.0
34,2020-04-30,Andaman and Nicobar Islands,33,18.0,15.0,0.0
35,2020-05-01,Andaman and Nicobar Islands,33,17.0,16.0,0.0
36,2020-05-02,Andaman and Nicobar Islands,33,17.0,16.0,0.0
37,2020-05-03,Andaman and Nicobar Islands,33,17.0,16.0,0.0
38,2020-05-04,Andaman and Nicobar Islands,33,1.0,32.0,0.0
39,2020-05-05,Andaman and Nicobar Islands,33,1.0,32.0,0.0
40,2020-05-06,Andaman and Nicobar Islands,33,1.0,32.0,0.0
